location,type,long,lat
FKNMS1,Sanctuary,-80.35074,25.3312
FKNMS1,Sanctuary,-80.35061,25.33125
FKNMS1,Sanctuary,-80.35049,25.33124
FKNMS1,Sanctuary,-80.35039,25.33121
FKNMS1,Sanctuary,-80.35028,25.33125
FKNMS1,Sanctuary,-80.34994,25.33113
FKNMS1,Sanctuary,-80.3498,25.33113
FKNMS1,Sanctuary,-80.34974,25.33118
FKNMS1,Sanctuary,-80.34965,25.33131
FKNMS1,Sanctuary,-80.34952,25.33137
FKNMS1,Sanctuary,-80.34938,25.33158
FKNMS1,Sanctuary,-80.34932,25.3316
FKNMS1,Sanctuary,-80.34909,25.33161
FKNMS1,Sanctuary,-80.34859,25.33189
FKNMS1,Sanctuary,-80.34838,25.33198
FKNMS1,Sanctuary,-80.34817,25.33199
FKNMS1,Sanctuary,-80.34798,25.33194
FKNMS1,Sanctuary,-80.34791,25.33197
FKNMS1,Sanctuary,-80.34787,25.332
FKNMS1,Sanctuary,-80.34786,25.33205
FKNMS1,Sanctuary,-80.34788,25.33212
FKNMS1,Sanctuary,-80.34784,25.33214
FKNMS1,Sanctuary,-80.34756,25.33219
FKNMS1,Sanctuary,-80.34742,25.33219
FKNMS1,Sanctuary,-80.34732,25.33216
FKNMS1,Sanctuary,-80.34717,25.33209
FKNMS1,Sanctuary,-80.34713,25.33206
FKNMS1,Sanctuary,-80.34694,25.33205
FKNMS1,Sanctuary,-80.34679,25.33199
FKNMS1,Sanctuary,-80.3465,25.33212
FKNMS1,Sanctuary,-80.34642,25.3322
FKNMS1,Sanctuary,-80.3463,25.33239
FKNMS1,Sanctuary,-80.3463,25.33249
FKNMS1,Sanctuary,-80.34621,25.33246
FKNMS1,Sanctuary,-80.34597,25.33253
FKNMS1,Sanctuary,-80.34581,25.33252
FKNMS1,Sanctuary,-80.34563,25.33244
FKNMS1,Sanctuary,-80.34555,25.33244
FKNMS1,Sanctuary,-80.34542,25.33249
FKNMS1,Sanctuary,-80.34537,25.33251
FKNMS1,Sanctuary,-80.34539,25.33244
FKNMS1,Sanctuary,-80.34542,25.33231
FKNMS1,Sanctuary,-80.34548,25.33223
FKNMS1,Sanctuary,-80.3455,25.33217
FKNMS1,Sanctuary,-80.34543,25.33211
FKNMS1,Sanctuary,-80.34543,25.33207
FKNMS1,Sanctuary,-80.34546,25.33203
FKNMS1,Sanctuary,-80.3455,25.33201
FKNMS1,Sanctuary,-80.34555,25.33203
FKNMS1,Sanctuary,-80.34558,25.33203
FKNMS1,Sanctuary,-80.34562,25.33199
FKNMS1,Sanctuary,-80.34561,25.33192
FKNMS1,Sanctuary,-80.34555,25.33185
FKNMS1,Sanctuary,-80.34555,25.33181
FKNMS1,Sanctuary,-80.34558,25.3318
FKNMS1,Sanctuary,-80.34561,25.3318
FKNMS1,Sanctuary,-80.34565,25.33178
FKNMS1,Sanctuary,-80.34571,25.33162
FKNMS1,Sanctuary,-80.34569,25.33153
FKNMS1,Sanctuary,-80.34564,25.33141
FKNMS1,Sanctuary,-80.34555,25.33136
FKNMS1,Sanctuary,-80.34555,25.33131
FKNMS1,Sanctuary,-80.34558,25.33121
FKNMS1,Sanctuary,-80.34564,25.33115
FKNMS1,Sanctuary,-80.34568,25.33115
FKNMS1,Sanctuary,-80.34571,25.33117
FKNMS1,Sanctuary,-80.34577,25.33139
FKNMS1,Sanctuary,-80.34579,25.3314
FKNMS1,Sanctuary,-80.34587,25.33131
FKNMS1,Sanctuary,-80.34591,25.33129
FKNMS1,Sanctuary,-80.34601,25.33133
FKNMS1,Sanctuary,-80.34606,25.33133
FKNMS1,Sanctuary,-80.3461,25.33129
FKNMS1,Sanctuary,-80.34608,25.33121
FKNMS1,Sanctuary,-80.34603,25.33119
FKNMS1,Sanctuary,-80.3459,25.33119
FKNMS1,Sanctuary,-80.34584,25.33118
FKNMS1,Sanctuary,-80.3458,25.33114
FKNMS1,Sanctuary,-80.34581,25.33107
FKNMS1,Sanctuary,-80.34585,25.33102
FKNMS1,Sanctuary,-80.34595,25.33099
FKNMS1,Sanctuary,-80.34604,25.33094
FKNMS1,Sanctuary,-80.3461,25.33085
