Sample,A3-A3b-A3at-A3ax,A3-A3at-A3b-A3q-A3s,A3-A3s-A3q,A3,A3-A3b-A3av-A3au-A3aw,A4,B18b,B18c,B5,C3/C3.10,C1/C3-C42.2-C1dl-C3gl-C3gm-C3gk,C3-C1-C3.10,C3-C1dk-C15hx,C3-C3go-C6c-C3gq-C3gp-C3gn-C3dw,C16/C3-C16b,C3-C3hb-C3ge-C3hc-C1dk,C3-C3gr-C3gt-C3gs-C3.10,C3/C1,C3
SFK186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14928,0,0,0,0
SFK165,0,0,0,203,0,0,0,0,0,0,0,0,0,0,6377,0,0,0,0
SFK179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9037,0,0,0,0
SFK176,0,0,371,0,0,0,0,0,0,0,0,0,0,0,12064,0,0,0,0
SFK166,0,405,0,0,0,0,0,0,0,0,0,0,0,0,11429,0,0,0,0
SFK035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5049,0,0,0,0
SFK189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13189,0,0,0,0
SFK163,0,0,442,0,0,0,0,0,0,0,0,0,0,0,8212,0,0,0,0
SFK178,0,1936,0,0,0,0,0,0,0,0,0,0,0,0,10095,0,0,0,0
SFK174,0,5799,0,0,0,0,0,0,0,0,0,0,0,0,7629,0,0,0,0
SFK150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10915,0,0,0
SFK158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19362,0,0,0
SFK160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11368,0,0,0
SFK147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16482,0,0,0
SFK151,0,1782,0,0,0,0,0,0,0,0,0,0,0,0,0,6594,0,0,0
SFK143,0,5490,0,0,0,0,0,0,0,0,0,0,0,0,0,13833,0,0,0
SFK137,0,0,0,0,5292,0,0,0,0,0,0,0,0,0,0,9080,0,0,0
SFK070,0,0,0,11039,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0
SFK006,0,0,0,11474,0,0,0,0,0,0,3668,0,0,0,0,0,0,0,0
SFK167,0,0,0,10427,0,0,0,0,0,0,0,8428,0,0,0,0,0,0,0
SFK028,0,0,0,3983,0,0,0,0,0,0,0,0,6017,0,0,0,0,0,0
SFK072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9929,0,0
SFK090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3668,0,0
SFK056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14940,0,0
SFK081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9699,0,0
SFK076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10702,0,0
SFK086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5929,0,0
SFK144,0,0,0,0,18146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFK173,0,3896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7721
SFK153,0,0,0,1087,0,0,0,0,5800,0,0,0,0,0,0,0,0,0,0
